sigma_a_MPa,R,sigma_min_MPa,sigma_max_MPa,cycles_checkpoint,FEM_Kt,root_sigma1_max_MPa,exact_root_node_sigma1_max_MPa,root_opening_max_MPa,effective_cleavage_max_MPa,raw_cleavage_rate_max_s,epsp_acc_max,fem_dep_eq_cycle_max,fem_drho_cycle_max_m2,direct_summary_H_attempt,mesh_root_radius_um,m_hits,phase_rate_max_s,per_cycle_action,N10,N50,N90
1000.0,0.1,222.22222222222223,2222.222222222222,20.0,2.033691229284314,4519.3138428540315,3794.3644093799,3740.333141051312,3740.333141051312,1.0019989866946264e-13,3.0258607115205677e-31,1.512930355721852e-32,0.0,,598.7445183220907,1,1.0019989866946264e-13,9.671270578787532e-18,1.0894175155115464e+16,7.167074635263113e+16,2.380850658903513e+17
1000.0,0.1,222.22222222222223,2222.222222222222,20.0,2.033691229284314,4519.3138428540315,3794.3644093799,3740.333141051312,3740.333141051312,1.0019989866946264e-13,3.0258607115205677e-31,1.512930355721852e-32,0.0,,598.7445183220907,2,5.0200098466852946e-33,3.4202910004308476e-37,3.0804547228453433e+35,2.0265737051982736e+36,6.732132127658123e+36
1000.0,0.1,222.22222222222223,2222.222222222222,20.0,2.033691229284314,4519.3138428540315,3794.3644093799,3740.333141051312,3740.333141051312,1.0019989866946264e-13,3.0258607115205677e-31,1.512930355721852e-32,0.0,,598.7445183220907,3,1.6766815931919015e-52,9.323390682898644e-57,1.1300665095058493e+55,7.434496784859022e+55,2.4696863740972948e+56
2000.0,0.1,444.44444444444446,4444.444444444444,100000000000000.0,2.0336912292586167,9038.627685593852,7588.728818546547,7480.666281885776,7480.66628088445,0.7298096299951238,1.8231205102871076e-12,1.8231205096303287e-26,0.0,0.0003395517199200718,598.7445183220907,1,0.7298096299951238,6.601163176000419e-05,1596.0901563663997,10500.379434339578,34881.50544991011
2000.0,0.1,444.44444444444446,4444.444444444444,100000000000000.0,2.0336912292586167,9038.627685593852,7588.728818546547,7480.666281885776,7480.66628088445,0.7298096299951238,1.8231205102871076e-12,1.8231205096303287e-26,0.0,0.0003395517199200718,598.7445183220907,2,2.6631091844593347e-07,1.7075599494854543e-11,6170238162.916328,40592845994.59094,134846515560.86757
2000.0,0.1,444.44444444444446,4444.444444444444,100000000000000.0,2.0336912292586167,9038.627685593852,7588.728818546547,7480.666281885776,7480.66628088445,0.7298096299951238,1.8231205102871076e-12,1.8231205096303287e-26,0.0,0.0003395517199200718,598.7445183220907,3,6.47854203448105e-14,3.395517159258827e-18,3.1029298547507372e+16,2.041359675270336e+17,6.781250057050671e+17
2150.0,0.1,477.77777777777777,4777.777777777777,1000000000000.0,2.03369122928391,9716.524762134237,8157.8834801528465,8041.716253246467,8041.716253234261,15.351852944893484,3.333274059535306e-14,3.3332740593419865e-26,0.0,0.03211324078705222,598.7445183220907,1,15.351852944893484,0.0014096393326849424,74.74288863460268,491.719523205774,1633.4568989418788
2150.0,0.1,477.77777777777777,4777.777777777777,1000000000000.0,2.03369122928391,9716.524762134237,8157.8834801528465,8041.716253246467,8041.716253234261,15.351852944893484,3.333274059535306e-14,3.3332740593419865e-26,0.0,0.03211324078705222,598.7445183220907,2,0.00011783848838932072,7.675840599409855e-09,13726251.124329856,90302445.91233914,299978232.1132458
2150.0,0.1,477.77777777777777,4777.777777777777,1000000000000.0,2.03369122928391,9716.524762134237,8157.8834801528465,8041.716253246467,8041.716253234261,15.351852944893484,3.333274059535306e-14,3.3332740593419865e-26,0.0,0.03211324078705222,598.7445183220907,3,6.030122768857009e-10,3.211324076001683e-14,3280905731227.4536,21584466847798.203,71702046834865.72
2500.0,0.1,555.5555555555555,5555.555555555556,586759.639157665,2.0336912292843112,11298.284607135061,9485.911023427101,9350.832852605947,9350.832852605947,5857.655325628243,7.952684998664846e-20,1.3553565153291465e-25,0.0,0.037363528078493934,598.7445183220907,1,5857.655325628243,0.5653843021370756,0.18635203570311007,1.2259752843153646,4.072601740604732
2500.0,0.1,555.5555555555555,5555.555555555556,586759.639157665,2.0336912292843112,11298.284607135061,9485.911023427101,9350.832852605947,9350.832852605947,5857.655325628243,7.952684998664846e-20,1.3553565153291465e-25,0.0,0.037363528078493934,598.7445183220907,2,17.08921369021624,0.0011733227371774424,89.79670496395786,590.7557729831329,1962.4481994895696
2500.0,0.1,555.5555555555555,5555.555555555556,586759.639157665,2.0336912292843112,11298.284607135061,9485.911023427101,9350.832852605947,9350.832852605947,5857.655325628243,7.952684998664846e-20,1.3553565153291465e-25,0.0,0.037363528078493934,598.7445183220907,3,0.033351280191029814,1.87294822975674e-06,56253.83231842484,370083.4702996419,1229390.677441793
